Date	Open	High	Low	Close	Volume	Market Cap
Jan 26, 2018	13.21	13.59	12.29	13.22	113,429,000	1,308,060,000
Jan 25, 2018	13.76	14.14	13.06	13.23	105,648,000	1,362,480,000
Jan 24, 2018	13.19	14.19	12.79	13.63	105,736,000	1,306,050,000
Jan 23, 2018	13.00	13.96	11.79	13.09	91,706,200	1,287,330,000
Jan 22, 2018	14.20	14.45	11.91	13.01	138,026,000	1,405,870,000
Jan 21, 2018	16.25	16.25	13.36	14.07	141,562,000	1,608,870,000
Jan 20, 2018	15.03	16.65	15.03	16.19	156,745,000	1,488,590,000
Jan 19, 2018	14.31	15.64	13.99	14.94	139,882,000	1,416,950,000
Jan 18, 2018	14.25	15.96	13.51	14.28	204,899,000	1,411,010,000
Jan 17, 2018	13.62	15.54	9.66	14.20	299,411,000	1,348,860,000
Jan 16, 2018	19.63	19.63	10.44	13.89	399,951,000	1,944,040,000
Jan 15, 2018	20.80	23.60	19.33	19.56	244,154,000	2,059,530,000
Jan 14, 2018	22.25	22.25	19.14	20.78	129,239,000	2,203,410,000
Jan 13, 2018	22.35	23.67	21.37	22.17	181,676,000	2,212,490,000
Jan 12, 2018	21.48	24.91	19.93	22.32	387,538,000	2,126,410,000
Jan 11, 2018	17.57	23.15	15.29	21.04	389,228,000	1,739,340,000
Jan 10, 2018	17.71	17.71	15.17	17.39	146,582,000	1,753,330,000
Jan 09, 2018	18.17	20.32	16.80	17.41	194,750,000	1,799,480,000
Jan 08, 2018	18.65	19.22	15.35	18.26	296,618,000	1,846,270,000
Jan 07, 2018	22.77	22.77	18.24	18.66	258,050,000	2,254,460,000
Jan 06, 2018	14.87	23.51	14.82	22.76	637,021,000	1,472,230,000
Jan 05, 2018	9.15	16.72	9.09	14.92	341,505,000	905,550,000
Jan 04, 2018	9.45	9.54	8.85	9.21	158,819,000	935,270,000
Jan 03, 2018	8.77	9.58	8.53	9.54	108,852,000	868,367,000
Jan 02, 2018	8.46	9.12	8.22	8.84	104,789,000	837,431,000
Jan 01, 2018	8.63	8.70	7.96	8.41	66,422,800	854,444,000
