Date	Open	High	Low	Close	Volume	Market Cap
Jan 26, 2018	11256.00	11656.70	10470.30	11171.40	9,746,200,000	189,398,000,000
Jan 25, 2018	11421.70	11785.70	11057.40	11259.40	8,873,170,000	192,163,000,000
Jan 24, 2018	10903.40	11501.40	10639.80	11359.40	9,940,990,000	183,419,000,000
Jan 23, 2018	10944.50	11377.60	10129.70	10868.40	9,660,610,000	184,087,000,000
Jan 22, 2018	11633.10	11966.40	10240.20	10931.40	10,537,400,000	195,645,000,000
Jan 21, 2018	12889.20	12895.90	11288.20	11600.10	9,935,180,000	216,740,000,000
Jan 20, 2018	11656.20	13103.00	11656.20	12899.20	11,801,700,000	195,979,000,000
Jan 19, 2018	11429.80	11992.80	11172.10	11607.40	10,740,400,000	192,150,000,000
Jan 18, 2018	11198.80	12107.30	10942.50	11474.90	15,020,400,000	188,242,000,000
Jan 17, 2018	11431.10	11678.00	9402.29	11188.60	18,830,600,000	192,123,000,000
Jan 16, 2018	13836.10	13843.10	10194.90	11490.50	18,853,800,000	232,517,000,000
Jan 15, 2018	13767.30	14445.50	13641.70	13819.80	12,750,800,000	231,334,000,000
Jan 14, 2018	14370.80	14511.80	13268.00	13772.00	11,084,100,000	241,447,000,000
Jan 13, 2018	13952.40	14659.50	13952.40	14360.20	12,763,600,000	234,391,000,000
Jan 12, 2018	13453.90	14229.90	13158.10	13980.60	12,065,700,000	225,986,000,000
Jan 11, 2018	14968.20	15018.80	13105.90	13405.80	16,534,100,000	251,387,000,000
Jan 10, 2018	14588.50	14973.30	13691.20	14973.30	18,500,800,000	244,981,000,000
Jan 09, 2018	15123.70	15497.50	14424.00	14595.40	16,660,000,000	253,935,000,000
Jan 08, 2018	16476.20	16537.90	14208.20	15170.10	18,413,900,000	276,612,000,000
Jan 07, 2018	17527.30	17579.60	16087.70	16477.60	15,866,000,000	294,222,000,000
Jan 06, 2018	17462.10	17712.40	16764.60	17527.00	18,314,600,000	293,091,000,000
Jan 05, 2018	15477.20	17705.20	15202.80	17429.50	23,840,900,000	259,748,000,000
Jan 04, 2018	15270.70	15739.70	14522.20	15599.20	21,783,200,000	256,250,000,000
Jan 03, 2018	14978.20	15572.80	14844.50	15201.00	16,871,900,000	251,312,000,000
Jan 02, 2018	13625.00	15444.60	13163.60	14982.10	16,846,600,000	228,579,000,000
Jan 01, 2018	14112.20	14112.20	13154.70	13657.20	10,291,200,000	236,725,000,000
